<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.06.04	00:00:00	312991.01	313094.03	310730.84	310745.50	1800	0	4500
2020.06.04	00:30:00	310727.46	311841.81	310432.38	311097.42	1800	0	4500
2020.06.04	01:00:00	311114.44	311939.91	310664.93	311326.72	1800	0	4500
2020.06.04	01:30:00	311310.21	311397.65	310275.20	311069.66	1800	0	4500
2020.06.04	02:00:00	311096.00	312619.49	310905.15	311939.25	1799	0	4500
2020.06.04	02:30:00	311909.82	312233.32	311157.92	311727.52	1799	0	4500
2020.06.04	03:00:00	311743.49	312524.28	311247.02	311909.24	1800	0	4500
2020.06.04	03:30:00	311892.74	312117.30	310792.14	311181.61	1800	0	4500
2020.06.04	04:00:00	311133.64	311373.61	310019.32	310175.66	1800	0	4500
2020.06.04	04:30:00	310195.03	310355.12	309027.41	309675.97	1800	0	4500
2020.06.04	05:00:00	309672.32	309759.01	308505.27	308740.26	1800	0	4500
2020.06.04	05:30:00	308777.88	309684.95	308264.19	309226.47	1800	0	4500
2020.06.04	06:00:00	309238.79	309520.22	308185.09	309201.80	1800	0	4500
2020.06.04	06:30:00	309213.77	309963.61	308462.12	309756.85	1799	0	4500
2020.06.04	07:00:00	309702.24	310715.44	309239.11	310218.82	1800	0	4500
2020.06.04	07:30:00	310250.87	312423.35	310062.46	311374.13	1800	0	4500
2020.06.04	08:00:00	311377.51	311980.70	310480.25	310872.15	1799	0	4500
2020.06.04	08:30:00	310869.18	312170.71	310776.39	311942.47	1800	0	4500
2020.06.04	09:00:00	311926.16	312114.55	309763.26	310330.23	1799	0	4500
2020.06.04	09:30:00	310366.45	310457.09	308777.84	309495.77	1800	0	4500
2020.06.04	10:00:00	309507.78	311163.38	309403.70	310586.72	1799	0	4500
2020.06.04	10:30:00	310601.82	311464.76	310286.27	310717.11	1800	0	4500
2020.06.04	11:00:00	310684.24	310968.24	308385.28	309147.73	1800	0	4500
2020.06.04	11:30:00	309152.44	310074.66	308797.90	309059.65	1800	0	4500
2020.06.04	12:00:00	309092.46	309531.72	307938.59	308264.73	1800	0	4500
2020.06.04	12:30:00	308294.54	309149.71	307873.77	308368.20	1800	0	4500
2020.06.04	13:00:00	308345.79	308932.21	307678.59	308932.21	1799	0	4500
2020.06.04	13:30:00	308942.95	309201.29	306913.69	306979.00	1800	0	4500
2020.06.04	14:00:00	307022.98	307336.33	305547.15	305651.94	1799	0	4500
2020.06.04	14:30:00	305646.92	305658.61	302979.34	303129.19	1800	0	4500
2020.06.04	15:00:00	303163.78	303340.64	301909.63	302643.05	1800	0	4500
2020.06.04	15:30:00	302668.07	303252.71	301500.31	302538.25	1800	0	4500
2020.06.04	16:00:00	302524.51	303524.31	301658.16	301686.56	1799	0	4500
2020.06.04	16:30:00	301715.48	302905.81	301405.66	302623.89	1800	0	4500
2020.06.04	17:00:00	302638.29	303792.48	301915.13	301915.13	1800	0	4500
2020.06.04	17:30:00	301935.05	302124.13	300561.38	300722.09	1800	0	4500
2020.06.04	18:00:00	300764.48	301197.11	299626.96	299716.89	1799	0	4500
2020.06.04	18:30:00	299723.88	301155.59	299491.28	300623.84	1800	0	4500
2020.06.04	19:00:00	300633.77	301185.45	299243.69	299380.90	1800	0	4500
2020.06.04	19:30:00	299405.94	303139.20	299375.07	303009.44	1800	0	4500
2020.06.04	20:00:00	303023.20	303120.96	299744.16	299761.57	1800	0	4500
2020.06.04	20:30:00	299775.19	299775.19	296641.60	297197.37	1800	0	4500
2020.06.04	21:00:00	297185.55	297667.67	296509.39	296597.09	1800	0	4500
2020.06.04	21:30:00	296584.39	297506.69	296172.45	296994.30	1800	0	4500
2020.06.04	22:00:00	296981.17	297837.13	296928.31	297820.68	1800	0	4500
2020.06.04	22:30:00	297794.79	299760.83	297395.38	297460.74	1800	0	4500
2020.06.04	23:00:00	297469.67	297884.28	296764.83	297152.28	1800	0	4500
2020.06.04	23:30:00	297158.99	299041.00	297108.94	298789.77	1800	0	4500
2020.06.05	00:00:00	298756.76	299388.05	297334.75	298558.74	1800	0	4500
2020.06.05	00:30:00	298552.90	299194.05	297459.47	297505.63	1800	0	4500
2020.06.05	01:00:00	297532.76	298851.45	297127.32	297198.62	1800	0	4500
2020.06.05	01:30:00	297223.27	297356.83	296132.78	296970.00	1800	0	4500
