<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.03.01	00:00:00	562028.17	564591.96	561656.80	564591.96	899	0	6077
2023.03.01	00:15:00	564517.08	564967.96	563842.61	564967.96	900	0	6077
2023.03.01	00:30:00	565024.11	566251.68	564809.97	566021.79	900	0	6077
2023.03.01	00:45:00	566156.02	568188.93	566131.97	567760.14	900	0	6077
2023.03.01	01:00:00	567745.59	570378.36	567450.64	570378.36	900	0	6077
2023.03.01	01:15:00	570402.71	571282.40	568878.52	569417.60	900	0	6077
2023.03.01	01:30:00	569443.05	570764.83	567590.53	568238.53	900	0	6077
2023.03.01	01:45:00	568245.73	568311.76	565732.36	566400.16	900	0	6077
2023.03.01	02:00:00	566365.94	566673.85	564622.57	564905.70	900	0	6077
2023.03.01	02:15:00	564834.72	569280.63	564272.64	569280.63	900	0	6077
2023.03.01	02:30:00	569194.14	569503.60	567380.86	568451.82	900	0	6077
2023.03.01	02:45:00	568462.86	571443.10	568312.80	570610.90	900	0	6077
2023.03.01	03:00:00	570582.55	570781.07	567888.24	567899.25	900	0	6077
2023.03.01	03:15:00	567809.09	568410.48	566366.09	567067.36	900	0	6077
2023.03.01	03:30:00	567034.25	569599.49	566770.88	569344.60	900	0	6077
2023.03.01	03:45:00	569308.96	570601.45	567864.70	568548.25	900	0	6077
2023.03.01	04:00:00	568494.99	568981.23	566442.82	567346.63	900	0	6077
2023.03.01	04:15:00	567369.87	568940.77	566871.81	568736.02	900	0	6077
2023.03.01	04:30:00	568765.95	570761.68	568705.88	570250.68	899	0	6077
2023.03.01	04:45:00	570262.25	570554.53	568949.60	569364.41	900	0	6077
2023.03.01	05:00:00	569382.74	570388.47	568429.81	570137.29	900	0	6077
2023.03.01	05:15:00	570185.55	571065.70	568748.02	569138.55	900	0	6077
2023.03.01	05:30:00	569119.63	569119.63	567001.05	568138.74	900	0	6077
2023.03.01	05:45:00	568080.93	568767.40	566752.98	567449.97	900	0	6077
2023.03.01	06:00:00	567490.31	569359.72	566083.20	566355.49	900	0	6077
2023.03.01	06:15:00	566369.67	566635.12	564658.35	565569.51	900	0	6077
2023.03.01	06:30:00	565603.07	567097.33	564456.37	566895.63	900	0	6077
2023.03.01	06:45:00	566768.02	570656.18	566534.04	569963.01	900	0	6077
2023.03.01	07:00:00	569988.04	572499.98	569852.76	572206.72	900	0	6077
2023.03.01	07:15:00	572233.54	574360.36	571875.04	574033.20	900	0	6077
2023.03.01	07:30:00	574002.61	575711.82	572063.12	572480.06	900	0	6077
2023.03.01	07:45:00	572453.19	574740.03	572328.24	573869.77	900	0	6077
2023.03.01	08:00:00	573942.72	574795.05	573098.11	573468.58	900	0	6077
2023.03.01	08:15:00	573456.26	575386.15	573201.74	574866.66	900	0	6077
2023.03.01	08:30:00	574848.54	580670.89	574848.54	579979.37	900	0	6077
2023.03.01	08:45:00	580024.12	581939.71	579889.32	580604.10	900	0	6077
2023.03.01	09:00:00	580685.19	582705.34	579704.89	582464.47	900	0	6077
2023.03.01	09:15:00	582437.88	582477.99	579523.99	579573.13	900	0	6077
2023.03.01	09:30:00	579575.05	579625.87	577595.77	577684.78	900	0	6077
2023.03.01	09:45:00	577674.12	580836.76	577220.29	580482.08	900	0	6077
2023.03.01	10:00:00	580518.70	583971.90	580385.49	583870.27	900	0	6077
2023.03.01	10:15:00	583877.98	584554.27	582603.17	583436.00	900	0	6077
2023.03.01	10:30:00	583519.04	584360.79	582380.17	584360.79	900	0	6077
2023.03.01	10:45:00	584315.56	584950.33	583669.37	584147.73	900	0	6077
2023.03.01	11:00:00	584137.36	584920.60	583042.36	583483.78	900	0	6077
2023.03.01	11:15:00	583434.08	586054.90	582972.55	585712.37	900	0	6077
